Type                                  Module                      Label             Process        Full Name                                              Split level
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   "MPCSORTED"       "HLT"          CSCDetIdCSCCorrelatedLCTDigiMuonDigiCollection_simCscTriggerPrimitiveDigis_MPCSORTED_HLT     1
MuonDigiCollection<CSCDetId,CSCShowerDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"          CSCDetIdCSCShowerDigiMuonDigiCollection_simCscTriggerPrimitiveDigis__HLT     1
MuonDigiCollection<CSCDetId,CSCShowerDigi>    "simCscTriggerPrimitiveDigis"   "Anode"           "HLT"          CSCDetIdCSCShowerDigiMuonDigiCollection_simCscTriggerPrimitiveDigis_Anode_HLT     1
MuonDigiCollection<CSCDetId,CSCShowerDigi>    "simCscTriggerPrimitiveDigis"   "Cathode"         "HLT"          CSCDetIdCSCShowerDigiMuonDigiCollection_simCscTriggerPrimitiveDigis_Cathode_HLT     1
MuonDigiCollection<CSCDetId,CSCStripDigi>    "simMuonCSCDigis"           "MuonCSCStripDigi"   "HLT"          CSCDetIdCSCStripDigiMuonDigiCollection_simMuonCSCDigis_MuonCSCStripDigi_HLT     1
MuonDigiCollection<CSCDetId,CSCWireDigi>    "simMuonCSCDigis"           "MuonCSCWireDigi"   "HLT"          CSCDetIdCSCWireDigiMuonDigiCollection_simMuonCSCDigis_MuonCSCWireDigi_HLT     1
MuonDigiCollection<CSCDetId,int>      "simCscTriggerPrimitiveDigis"   ""                "HLT"          CSCDetIdintMuonDigiCollection_simCscTriggerPrimitiveDigis__HLT     1
MuonDigiCollection<DTLayerId,DTDigi>    "simMuonDTDigis"            ""                "HLT"          DTLayerIdDTDigiMuonDigiCollection_simMuonDTDigis__HLT     1
MuonDigiCollection<DTLayerId,DTDigiSimLink>    "simMuonDTDigis"            ""                "HLT"          DTLayerIdDTDigiSimLinkMuonDigiCollection_simMuonDTDigis__HLT     1
MuonDigiCollection<GEMDetId,GEMCoPadDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"          GEMDetIdGEMCoPadDigiMuonDigiCollection_simCscTriggerPrimitiveDigis__HLT     1
MuonDigiCollection<GEMDetId,GEMDigi>    "muonGEMDigis"              ""                "HLT"          GEMDetIdGEMDigiMuonDigiCollection_muonGEMDigis__HLT     1
MuonDigiCollection<GEMDetId,GEMDigi>    "simMuonGEMDigis"           ""                "HLT"          GEMDetIdGEMDigiMuonDigiCollection_simMuonGEMDigis__HLT     1
MuonDigiCollection<GEMDetId,GEMOHStatus>    "muonGEMDigis"              "OHStatus"        "HLT"          GEMDetIdGEMOHStatusMuonDigiCollection_muonGEMDigis_OHStatus_HLT     1
MuonDigiCollection<GEMDetId,GEMPadDigi>    "simMuonGEMPadDigis"        ""                "HLT"          GEMDetIdGEMPadDigiMuonDigiCollection_simMuonGEMPadDigis__HLT     1
MuonDigiCollection<GEMDetId,GEMPadDigiCluster>    "simMuonGEMPadDigiClusters"   ""                "HLT"          GEMDetIdGEMPadDigiClusterMuonDigiCollection_simMuonGEMPadDigiClusters__HLT     1
MuonDigiCollection<GEMDetId,GEMVFATStatus>    "muonGEMDigis"              "VFATStatus"      "HLT"          GEMDetIdGEMVFATStatusMuonDigiCollection_muonGEMDigis_VFATStatus_HLT     1
MuonDigiCollection<RPCDetId,RPCDigi>    "simMuonRPCDigis"           ""                "HLT"          RPCDetIdRPCDigiMuonDigiCollection_simMuonRPCDigis__HLT     1
MuonDigiCollection<unsigned short,GEMAMC13Status>    "muonGEMDigis"              "AMC13Status"     "HLT"          ushortGEMAMC13StatusMuonDigiCollection_muonGEMDigis_AMC13Status_HLT     1
MuonDigiCollection<unsigned short,GEMAMCStatus>    "muonGEMDigis"              "AMCStatus"       "HLT"          ushortGEMAMCStatusMuonDigiCollection_muonGEMDigis_AMCStatus_HLT     1
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "HLT"          floatROOTMathCartesian3DROOTMathDefaultCoordinateSystemTagROOTMathPositionVector3D_genParticles_xyz0_HLT     1
TTClusterAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTClusterAssociatorFromPixelDigis"   "ClusterAccepted"   "HLT"          Phase2TrackerDigiedmDetSetVectorPhase2TrackerDigiPhase2TrackerDigiedmrefhelperFindForDetSetVectoredmRefTTClusterAssociationMap_TTClusterAssociatorFromPixelDigis_ClusterAccepted_HLT     1
TTClusterAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTClusterAssociatorFromPixelDigis"   "ClusterInclusive"   "HLT"          Phase2TrackerDigiedmDetSetVectorPhase2TrackerDigiPhase2TrackerDigiedmrefhelperFindForDetSetVectoredmRefTTClusterAssociationMap_TTClusterAssociatorFromPixelDigis_ClusterInclusive_HLT     1
